objectid,county,urban_semiurban_boys_number,urban_semiurban_girls_number,urban_semiurban_total_number,rural_boys_number,rural_girls_number,rural_total_number,year_
1,BARINGO,4861,4816,9677,68713,65056,133769,2014-12-31T00:00:00.000Z
2,BOMET,3382,3467,6849,111649,108549,220198,2014-12-31T00:00:00.000Z
3,BUNGOMA,19480,22725,42205,233557,233804,467361,2014-12-31T00:00:00.000Z
4,BUSIA,10901,10822,21723,113750,115381,229131,2014-12-31T00:00:00.000Z
5,EMBU,2715,2647,5362,56923,56633,113556,2014-12-31T00:00:00.000Z
6,GARISSA,29107,18361,47468,35729,23207,58936,2014-12-31T00:00:00.000Z
7,HOMABAY,17459,18140,35599,141945,135773,277718,2014-12-31T00:00:00.000Z
8,ISIOLO,2584,2450,5034,14653,14336,28989,2014-12-31T00:00:00.000Z
9,KAJIADO,16885,16396,33281,58273,55947,114220,2014-12-31T00:00:00.000Z
10,KAKAMEGA,19662,19410,39072,250541,257147,507688,2014-12-31T00:00:00.000Z
11,ELGEYO-MARAKWET,3192,2890,6082,55812,55932,111744,2014-12-31T00:00:00.000Z
12,KERICHO,5880,6211,12091,107259,104504,211763,2014-12-31T00:00:00.000Z
13,KIAMBU,44633,44577,89210,107345,105029,212374,2014-12-31T00:00:00.000Z
14,KILIFI,34499,33475,67974,117147,114512,231659,2014-12-31T00:00:00.000Z
15,KIRINYAGA,3399,3798,7197,50943,50320,101263,2014-12-31T00:00:00.000Z
16,KISII,10751,11765,22516,143666,141605,285271,2014-12-31T00:00:00.000Z
17,KISUMU,32826,34235,67061,95207,94749,189956,2014-12-31T00:00:00.000Z
18,KITUI,5975,5819,11794,166717,162726,329443,2014-12-31T00:00:00.000Z
19,KWALE,4566,4408,8974,84369,81327,165696,2014-12-31T00:00:00.000Z
20,LAIKIPIA,10303,10312,20615,37931,36261,74192,2014-12-31T00:00:00.000Z
21,LAMU,2223,2450,4673,11391,10507,21898,2014-12-31T00:00:00.000Z
22,MACHAKOS,13620,13373,26993,131066,125056,256122,2014-12-31T00:00:00.000Z
23,MAKUENI,2672,2489,5161,139577,134762,274339,2014-12-31T00:00:00.000Z
24,MANDERA,15456,10207,25663,41427,22266,63693,2014-12-31T00:00:00.000Z
25,MARSABIT,879,744,1623,28863,26125,54988,2014-12-31T00:00:00.000Z
26,MERU,7341,7303,14644,149176,153927,303103,2014-12-31T00:00:00.000Z
27,MIGORI,20303,20519,40822,130960,126528,257488,2014-12-31T00:00:00.000Z
28,MOMBASA,59459,59597,119056,1569,1622,3191,2014-12-31T00:00:00.000Z
29,MURANGA,2221,1943,4164,100791,96457,197248,2014-12-31T00:00:00.000Z
30,NAIROBI,193562,201169,394731,1261,1322,2583,2014-12-31T00:00:00.000Z
31,NAKURU,56964,55632,112596,153686,151026,304712,2014-12-31T00:00:00.000Z
32,NANDI,2119,2225,4344,113121,111795,224916,2014-12-31T00:00:00.000Z
33,NAROK,6818,7801,14619,120862,109389,230251,2014-12-31T00:00:00.000Z
34,NYAMIRA,922,930,1852,72553,72613,145166,2014-12-31T00:00:00.000Z
35,NYANDARUA,1269,1235,2504,74568,72206,146774,2014-12-31T00:00:00.000Z
36,NYERI,9703,8996,18699,61223,58399,119622,2014-12-31T00:00:00.000Z
37,SAMBURU,4186,4311,8497,21773,17106,38879,2014-12-31T00:00:00.000Z
38,SIAYA,9637,9784,19421,117740,117504,235244,2014-12-31T00:00:00.000Z
39,TAITA-TAVETA,5163,5004,10167,29351,28348,57699,2014-12-31T00:00:00.000Z
40,TANA-RIVER,620,609,1229,24958,22791,47749,2014-12-31T00:00:00.000Z
41,THARAKA-NITHI,1666,1770,3436,47017,47239,94256,2014-12-31T00:00:00.000Z
42,TRANS-NZOIA,13152,13471,26623,102657,104038,206695,2014-12-31T00:00:00.000Z
43,TURKANA,13504,11843,25347,96194,72666,168860,2014-12-31T00:00:00.000Z
44,UASIN-GISHU,14095,14263,28358,80731,80773,161504,2014-12-31T00:00:00.000Z
45,VIHIGA,267,301,568,84323,87610,171933,2014-12-31T00:00:00.000Z
46,WAJIR,9569,8004,17573,29280,17640,46920,2014-12-31T00:00:00.000Z
47,WEST POKOT,5420,5520,10940,76878,72147,149025,2014-12-31T00:00:00.000Z
